;"LECHE Y DERIVADOS";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
173;"hab ichuela";;90;29;90;2,1;0;5,5;1,6;0,7;60;54;1;170;17;0,06;0,09;0,7;10;;;0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0,0;0;0;0,00;0,00;0,0;0;
178;"remolacha";;80;42;87,2;1,4;0;9,6;0,8;1;18;28;1;0;;0,03;0,07;0,2;6;;;0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0,0;0;0;0,00;0,00;0,0;0;
181;"cubios";;95;58;83,4;1,6;0,1;13,1;0,9;0,9;7;49;0,7;0;;0,05;0,04;0,6;120;;;0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0,0;0;0;0,00;0,00;0,0;0;
184;"cebolla puerro";"tallos sin hojas";95;60;82,4;1,6;0,1;13,7;1,4;0,8;86;51;0,8;0;0;0,07;0,05;0,5;12;;;0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0,0;0;0;0,00;0,00;0,0;0;
185;"maíz tierno o choclo";;60;136;64,2;4,7;1,2;27,8;1,2;0,9;12;120;0,8;20;2;0,13;0,1;1,6;10;;;0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0,0;0;0;0,00;0,00;0,0;0;
;"FRUTAS";;;;;;;;;;;;;;;;;;;;;0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0,0;0;0;0,00;0,00;0,0;0;
187;"guayaba blanca";"cáscara y pulpa sin semillas";75;36;86;0,9;0,1;9,5;2,8;0,7;15;22;0,6;0;0;0,03;0,03;0,6;240;;;0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0,0;0;0;0,00;0,00;0,0;0;
188;"guayaba rosada";"cáscara y pulpa sin semillas";75;36;86;0,9;0,1;9,5;2,8;0,7;17;30;0,7;400;40;0,05;0,03;0,6;200;;;0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0,0;0;0;0,00;0,00;0,0;0;
190;"mango";;60;58;81,8;0,5;0,1;16,4;0,7;0,5;10;14;0,4;1100;110;0,04;0,07;0,4;80;;;0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0,0;0;0;0,00;0,00;0,0;0;
191;"papaya";;70;30;90;0,5;0,1;8,1;0,8;0,5;25;12;0,3;700;70;0,03;0,02;0,3;75;;;0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0,0;0;0;0,00;0,00;0,0;0;
192;"curuba";"pulpa y jugo";45;16;93,5;0,7;0,1;3,9;1,2;0,6;10;11;0,3;100;10;0,02;0,03;0,6;70;;;0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0,0;0;0;0,00;0,00;0,0;0;
193;"papayuela";"pulpa sin semillas";45;16;93,5;0,7;0,1;3,9;1,2;0,6;10;11;0,3;100;10;0,02;0,03;0,6;70;;;0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0,0;0;0;0,00;0,00;0,0;0;
